Fid,Certification_Course,Gender,Department,Height_CM,Weight_KG,10th_Mark,12th_Mark,hobbies,daily_studing_time,prefer_to_study_in,like_your_degree,social_medai_video,Travelling_Time ,Stress_Level ,Financial_Status,alcohol_consumption,part_time_job,Label
172.217.10.78-10.42.0.151-443-38609-6,No,Female,BCA,150,45,90,90,Cinema,0 - 30 minute,Night,Yes,1 - 1.30 hour,0 - 30 minutes,Awful,good,yes,No,1
10.42.0.42-54.192.38.65-33427-443-6,Yes,Male,BCA,185,72,79,65,Video Games,30 - 60 minute,Morning,Yes,More than 2 hour,30 - 60 minutes,Good,Bad,yes,No,1
184.73.243.250-10.42.0.211-443-43635-6,No,Male,BCA,165,50,77,87,Video Games,30 - 60 minute,Anytime,No,30 - 60 Minute,1 - 1.30 hour,Bad,Bad,yes,No,1
10.42.0.211-23.206.166.62-35594-80-6,No,Female,BCA,175,43,54,51,Sports,30 - 60 minute,Morning,Yes,1 - 30 Minute,1 - 1.30 hour,Bad,good,yes,No,1
216.58.219.234-10.42.0.151-443-51676-6,No,Female,BCA,98,35,70,55,Reading books,1 - 2 Hour,Night,Yes,1.30 - 2 hour,30 - 60 minutes,Good,good,no,No,1
157.240.2.20-10.42.0.211-443-45910-6,No,Female,Commerce,159,95,72,80,Cinema,0 - 30 minute,Anytime,Yes,More than 2 hour,0 - 30 minutes,Good,good,yes,No,0
172.217.3.99-10.42.0.42-443-33800-6,No,Male,Commerce,160,70,70,70,Cinema,3 - 4 hour,Anytime,Yes,1 - 30 Minute,0 - 30 minutes,Good,good,no,Yes,1
10.42.0.211-87.240.165.80-45003-80-6,Yes,Male,Commerce,160,65,70,75,Sports,0 - 30 minute,Anytime,Yes,1 - 1.30 hour,30 - 60 minutes,Good,good,yes,Yes,0
10.42.0.1-10.42.0.42-53-38671-17,Yes,Female,B.com Accounting and Finance ,154,45,64,88,Sports,1 - 2 Hour,Morning,Yes,1 - 1.30 hour,0 - 30 minutes,Bad,good,yes,No,1
209.85.232.188-10.42.0.211-5228-53200-6,No,Male,B.com Accounting and Finance ,160,80,75,75,Sports,30 - 60 minute,Anytime,Yes,More than 2 hour,1.30 - 2 hour,Good,good,no,No,1
10.42.0.42-52.84.143.41-43854-80-6,No,Male,B.com Accounting and Finance ,90,83,60,82,Video Games,0 - 30 minute,Anytime,Yes,30 - 60 Minute,1.30 - 2 hour,Awful,good,yes,No,0
10.42.0.211-64.95.32.61-39904-443-6,Yes,Male,B.com Accounting and Finance ,156,70,66,65,Reading books,1 - 2 Hour,Morning,Yes,30 - 60 Minute,30 - 60 minutes,fabulous,good,no,No,1
10.42.0.151-104.244.42.65-53315-80-6,No,Male,B.com Accounting and Finance ,155,55,73,72,Reading books,1 - 2 Hour,Night,Yes,1 - 30 Minute,30 - 60 minutes,Good,good,yes,No,0
10.42.0.42-62.138.0.117-58078-80-6,Yes,Male,B.com Accounting and Finance ,153,56,62,53,Sports,1 - 2 Hour,Morning,Yes,30 - 60 Minute,2 - 2.30 hour,Awful,Awful,no,Yes,1
10.42.0.211-123.125.115.190-32880-80-6,Yes,Female,B.com Accounting and Finance ,157,53,85,88,Sports,1 - 2 Hour,Anytime,Yes,0 Minute,1 - 1.30 hour,Bad,Bad,no,No,0
10.42.0.151-14.204.144.143-39503-80-6,No,Male,B.com Accounting and Finance ,170,65,70,80,Reading books,More Than 4 hour,Anytime,Yes,1.30 - 2 hour,30 - 60 minutes,Bad,good,no,No,0
169.47.40.148-10.42.0.151-443-39694-6,Yes,Female,Commerce,159,67,98,80,Reading books,1 - 2 Hour,Anytime,Yes,1.30 - 2 hour,more than 3 hour,Good,Bad,no,No,0
169.55.67.227-10.42.0.211-5222-59240-6,Yes,Female,Commerce,180,43,86,78,Reading books,1 - 2 Hour,Anytime,Yes,1.30 - 2 hour,30 - 60 minutes,Bad,good,no,No,0
172.217.10.110-10.42.0.151-443-50193-6,No,Male,Commerce,100,47,87,84,Sports,30 - 60 minute,Morning,Yes,1 - 1.30 hour,30 - 60 minutes,fabulous,Bad,yes,No,0
